a  /ah /a
freethinkers  /f r iy th ih ng k er z /f r ee th i n k er s
freeway  /f r iy w ey /f r ee w ay
frequent  /f r iy k w ah en t /f r e q * u en t
frequently  /f r iy k w ah en t el iy /f r e q * u en t l y
fresh  /f r eh sh /f r e sh
friend  /f r eh en d /f ri e n d
friends  /f r eh en d z /f ri e n d s
frightened  /f r ay t en d /f r igh t en ed
fringe  /f r ih en jh /f r i n ge  
frivolous  /f r ih v el ah s /f r i vo l ou s
from  /f r ah m /f r o m
front  /f r ah en t /f r o n t
frost  /f r ao s t /f r o s t
frostbite  /f r ao s t b ay t /f r o s t b i te  
frowningly  /f r aw en ih ng el iy /f r ow n i ng l y
froze  /f r ow z /f r o ze  
fruit  /f r uw t /f r ui t
frustration  /f r ah s t r ey sh ih en /f r u s t r a * * tion
fudge  /f ah jh /f u dge  
fulfilling  /f uh el f ih el ih ng /f u l f i ll i ng
fulfillment  /f uh el f ih el m ah en t /f u l f i ll m e n t
full  /f uh el /f u ll
fullness  /f uh el en ih s /f u ll n e ss
fully  /f uh el iy /f u ll y
fumbled  /f ah m b el d /f u m b l ed
fuming  /f y uw m ih ng /f * u m i ng
fun  /f ah en /f u n
function  /f ah ng k sh ih en /f u n c * * tion
functional  /f ah ng k sh ih en el /f u n c * * tion al
fund  /f ah en d /f u n d
funding  /f ah en d ih ng /f u n d i ng
funds  /f ah en d z /f u n d s
fungicides  /f ah en jh ih s ay d z /f u n g i c i de s
funnel  /f ah en el /f u nn el
funny  /f ah en iy /f u nn y
fur  /f er /f ur
furiously  /f y uh r iy ah s el iy /f * u r i ou s l y
furnish  /f er en ih sh /f ur n i sh
furrier  /f er iy er /f urr i er
further  /f er dh er /f ur th er
fuss  /f ah s /f u ss
future  /f y uw ch er /f * u t ure  
gab  /g ae b /g a b
gadfly  /g ae d f el ay /g a d f l y
gadget  /g ae jh ih t /g a dg e t
gag  /g ae g /g a g
gain  /g ey en /g ai n
gained  /g ey en d /g ai n ed
gait  /g ey t /g ai t
gallant  /g ae el ih en t /g a ll a n t
gallon  /g ae el ih en /g a ll o n
galoshes  /g ah el ao sh ih z /g a l o sh e s
galvanic  /g ae el v ae en ih k /g a l v a n i c
game  /g ey m /g a me  
gang  /g ae ng /g a ng
gangplank  /g ae ng p el ae ng k /g a ng p l a n k
garage  /g er ao sh /g ar a ge
garbage  /g ao r b ih jh /g a r b a ge  
garden  /g ao r d en /g a r d en
gardens  /g ao r d en z /g a r d en s
garlic  /g ao r el ih k /g a r l i c
garrisoned  /g ae r ih s ih en d /g a rr i s o n ed
gas  /g ae s /g a s
gashes  /g ae sh ih z /g a sh e s
gassing  /g ae s ih ng /g a ss i ng
gates  /g ey t s /g a te s
gateway  /g ey t w ey /g a te w ay
gathered  /g ae dh er d /g a th er ed
gathering  /g ae dh er ih ng /g a th er i ng
gaudy  /g ao d iy /g au d y
gave  /g ey v /g a ve  
gay  /g ey /g ay
gazed  /g ey z d /g a z ed
gear  /g ih r /g ea r
geeing  /jh iy ih ng /g ee i ng
geese  /g iy s /g ee se  
general  /jh eh en er el /g e n er al
general's  /jh eh en er el z /g e n er al' s
generalizations  /jh eh en er el ah z ey sh ih en z /g e n er al i z a * * tion s
generalize  /jh eh en er ah el ay z /g e n er a l i ze  
generally  /jh eh en er ah el iy /g e n er a ll y
generals  /jh eh en er el z /g e n er al s
generations  /jh eh en er ey sh ih en z /g e n er a * * tion s
generous  /jh eh en er ih s /g e n er ou s
generously  /jh eh en er ih s el iy /g e n er ou s l y
gentle  /jh eh en t el /g e n t le  
gentleman  /jh eh en t el m ah en /g e n t le m a n
gently  /jh eh en t el iy /g e n t l y
genuinely  /jh eh en y uw ah en el iy /g e n * u i n el y
geocentricism  /jh iy ah s eh en t r ih s ih z m /g e o c e n t r i c i s m
geographically  /jh iy ah g r ae f ih k el iy /g e o g r a ph i c all y
geological  /jh iy ah el ao jh ih k el /g e o l o g i c al
george  /jh ao r jh /ge o r ge  
get  /g eh t /g e t
gets  /g eh t s /g e t s
getting  /g eh t ih ng /g e tt i ng
ghetto  /g eh t ow /gh e tt o
ghettos  /g eh t ow z /gh e tt o s
ghost  /g ow s t /gh o s t
ghostlike  /g ow s t el ay k /gh o s t l i ke  
giant  /jh ay ih en t /g i a n t
giants  /jh ay ih en t s /g i a n t s
gift  /g ih f t /g i f t
gifted  /g ih f t ih d /g i f t e d
gifts  /g ih f t s /g i f t s
gigantic  /jh ay g ae en t ih k /g i g a n t i c
gin  /jh ih en /g i n
giraffes  /jh er ae f s /g ir a ffe s
girl  /g er el /g ir l
girlie  /g er el iy /g ir l ie  
girlishly  /g er el ih sh el iy /g ir l i sh l y
girls  /g er el z /g ir l s
give  /g ih v /g i ve  
given  /g ih v ah en /g i v e n
gives  /g ih v z /g i ve s
givin'  /g ih v ah en /g i v i n'  
gland  /g el ae en d /g l a n d
glass  /g el ae s /g l a ss
glaze  /g el ey z /g l a ze  
glazed  /g el ey z d /g l a z ed
glazing  /g el ey z ih ng /g l a z i ng
gleam  /g el iy m /g l ea m
gleamed  /g el iy m d /g l ea m ed
gleaming  /g el iy m ih ng /g l ea m i ng
glee  /g el iy /g l ee
glee-club  /g el iy k el ah b /g l ee- c l u b
glimpse  /g el ih m p s /g l i m p se  
glistened  /g el ih s en d /g l i st en ed
glistening  /g el ih s en ih ng /g l i st en i ng
gloom  /g el uw m /g l oo m
glories  /g el ao r iy z /g l o r ie s
glorified  /g el ao r ih f ay d /g l o r i f i ed
glossy  /g el ao s iy /g l o ss y
gloves  /g el ah v z /g l o ve s
glow  /g el ow /g l ow  
glowed  /g el ow d /g l ow ed
glue  /g el uw /g l ue  
glued  /g el uw d /g l u ed
gluttons  /g el ah t en z /g l u tt on s
go  /g ow /g o
go-cart  /g ow k ao r t /g o- c a r t
goal  /g ow el /g o al
goals  /g ow el z /g o al s
goat  /g ow t /g oa t
goes  /g ow z /g oe s
goin'  /g ow ih en /g o i n'  
going  /g ow ih ng /g o i ng
gold  /g ow el d /g o l d
golfing  /g ao el f ih ng /g o l f i ng
gone  /g ao en /g o ne  
gonna  /g ah en ah /g o nn a
good  /g uh d /g oo d
good-news  /g uh d en uw z /g oo d- n ew s
good-size  /g uh d s ay z /g oo d- s i ze  
goodness  /g uh d en ih s /g oo d n e ss
goodnight  /g uh d en ay t /g oo d n igh t
goose  /g uw s /g oo se  
gooseberry  /g uw s b eh r iy /g oo se b e rr y
gorgeous  /g ao r jh ih s /g o r g eou s
gosh  /g ao sh /g o sh
got  /g ao t /g o t
goulash  /g uw el ao sh /g ou l a sh
govern  /g ah v er en /g o v er n
governing  /g ah v er en ih ng /g o v er n i ng
government  /g ah v er en m ah en t /g o v er n m e n t
governor  /g ah v er en er /g o v er n or
gowns  /g aw en z /g ow n s
grab  /g r ae b /g r a b
gracefully  /g r ey s f ah el iy /g r a ce f u ll y
grade  /g r ey d /g r a de  
grade-equivalent  /g r ey d ih k w ih v el ah en t /g r a d e-e q u i v al e n t
grades  /g r ey d z /g r a de s
gradually  /g r ae jh uw ah el iy /g r a d u a ll y
graduation  /g r ae jh uw ey sh ih en /g r a d u a * * tion
grains  /g r ey en z /g r ai n s
grandmother  /g r ae en d m ah dh er /g r a n d m o th er
grants  /g r ae en t s /g r a n t s
graph  /g r ae f /g r a ph
grateful  /g r ey t f el /g r a te fu l
graying  /g r ey ih ng /g r ay i ng
grazing  /g r ey z ih ng /g r a z i ng
greasing  /g r iy s ih ng /g r ea s i ng
greasy  /g r iy s iy /g r ea s y
great  /g r ey t /g r ea t
greater  /g r ey t er /g r ea t er
greatly  /g r ey t el iy /g r ea t l y
greedily  /g r iy d ah el iy /g r ee d i l y
green  /g r iy en /g r ee n
greenness  /g r iy en ih s /g r ee nn e ss
greeted  /g r iy t ih d /g r ee t e d
greg  /g r eh g /g r e g
gregory  /g r eh g er iy /g r e g or y
grievance  /g r iy v ah en s /g r ie v a n ce  
grievances  /g r iy v ah en s ih z /g r ie v a n c e s
grill  /g r ih el /g r i ll
grin  /g r ih en /g r i n
grinned  /g r ih en d /g r i nn ed
grip  /g r ih p /g r i p
groin  /g r oy en /g r oi n
groom  /g r uw m /g r oo m
gross  /g r ow s /g r o ss
grotesque  /g r ow t eh s k /g r o t e s que  
ground  /g r aw en d /g r ou n d
groundhog  /g r aw en d hh ao g /g r ou n d h o g
group  /g r uw p /g r ou p
groups  /g r uw p s /g r ou p s
grow  /g r ow /g r ow  
growing  /g r ow ih ng /g r ow i ng
grown  /g r ow en /g r ow n
grownups  /g r ow en ah p s /g r ow n u p s
grows  /g r ow z /g r ow s
growth  /g r ow th /g r ow th
grudgingly  /g r ah jh ih ng el iy /g r u dg i ng l y
grunt  /g r ah en t /g r u n t
guaranteed  /g ae r ah en t iy d /gu a r a n t ee d
guarantees  /g ae r ah en t iy z /gu a r a n t ee s
guard  /g ao r d /gu a r d
guerrilla  /g er ih el ah /gu err i ll a
guerrillas  /g er ih el ah z /gu err i ll a s
guess  /g eh s /g ue ss
guidance  /g ay d en s /gu i da n ce  
guide  /g ay d /gu i de  
guidebook  /g ay d b uh k /gu i de b oo k
guides  /g ay d z /gu i de s
guilt  /g ih el t /g ui l t
guilty  /g ih el t iy /g ui l t y
gum  /g ah m /g u m
gums  /g ah m z /g u m s
gun  /g ah en /g u n
gunman  /g ah en m ih en /g u n m a n
gunpoint  /g ah en p oy en t /g u n p oi n t
gunpowder  /g ah en p aw d er /g u n p ow d er
guns  /g ah en z /g u n s
gurgle  /g er g el /g ur g le  
gus  /g ah s /g u s
gushed  /g ah sh t /g u sh ed
guttural  /g ah t er el /g u tt ur al
guy  /g ay /gu y
guys  /g ay z /gu y s
gwen  /g w eh en /g w e n
gyro  /jh ay r ow /g y r o
gyrocompass  /jh ay r ow k ah m p ah s /g y r o c o m p a ss
ha  /hh ao /h a
habit  /hh ae b ih t /h a b i t
had  /hh ae d /h a d
hafta  /hh ae f t ah /h a f t a
haggard  /hh ae g er d /h a gg ar d
hails  /hh ey el z /h ai l s
hair  /hh ae r /h ai r
haired  /hh ae r d /h ai r ed
half  /hh ae f /h al f
half-city  /hh ae f s ih t iy /h al f- c i t y
half-inch  /hh ae f ih en ch /h al f- i n ch
half-man  /hh ae f m ae en /h al f- m a n
halloween  /hh ae el ow iy en /h a ll ow ee n
hallway  /hh ao el w ey /h a ll w ay
halves  /hh ae v z /h al ve s
ham  /hh ae m /h a m
ham-radio  /hh ae m r ey d iy ow /h a m- r a d i o
hand  /hh ae en d /h a n d
handbag  /hh ae en d b ae g /h a n d b a g
handed  /hh ae en d ih d /h a n d e d
handful  /hh ae en d f uh el /h a n d f u l
handle  /hh ae en d el /h a n d le  
handling  /hh ae en d el ih ng /h a n d l i ng
hands  /hh ae en d z /h a n d s
handsome  /hh ae en s ah m /h a nd s o me  
handy  /hh ae en d iy /h a n d y
handyman  /hh ae en d iy m ae en /h a n d y m a n
handyman-carpenter  /hh ae en d iy m ae en k ao r p ah en t er /h a n d y m a n- c a r p e n t er
hanging  /hh ae ng ih ng /h a ng i ng
hangovers  /hh ae ng ow v er z /h a ng o v er s
happen  /hh ae p ah en /h a pp e n
happened  /hh ae p ah en d /h a pp e n ed
happening  /hh ae p ah en ih ng /h a pp e n i ng
happier  /hh ae p iy er /h a pp i er
happily  /hh ae p ah el iy /h a pp i l y
happy  /hh ae p iy /h a pp y
hard  /hh ao r d /h a r d
hardly  /hh ao r d el iy /h a r d l y
hardy  /hh ao r d iy /h a r d y
harmlessly  /hh ao r m el ah s el iy /h a r m l e ss l y
harmonize  /hh ao r m ah en ay z /h a r m o n i ze  
harmony  /hh ao r m ah en iy /h a r m o n y
harms  /hh ao r m z /h a r m s
harsh  /hh ao r sh /h a r sh
has  /hh ae z /h a s
hastily  /hh ey s t ah el iy /h a s t i l y
hat  /hh ae t /h a t
hate  /hh ey t /h a te  
hated  /hh ey t ih d /h a t e d
hatred  /hh ey t r ih d /h a t r e d
hats  /hh ae t s /h a t s
haughty  /hh ao t iy /h augh t y
hauling  /hh ao el ih ng /h au l i ng
haunted  /hh ao en t ih d /h au n t e d
have  /hh ae v /h a ve  
haven't  /hh ae v en t /h a v en' t
having  /hh ae v ih ng /h a v i ng
hawing  /hh ao ih ng /h aw i ng
hay  /hh ey /h ay
hazards  /hh ae z er d z /h a z ar d s
haze  /hh ey z /h a ze  
he  /hh iy /h e
he'd  /hh iy d /h e' d
he'll  /hh ih el /h e' ll
he's  /hh iy z /h e' s
head  /hh eh d /h ea d
head-in-the-clouds  /hh eh d ih en dh ah k el aw d z /h ea d- i n- th e- c l ou d s
headache  /hh eh d ey k /h ea d a che  
headaches  /hh eh d ey k s /h ea d a che s
heading  /hh eh d ih ng /h ea d i ng
headquarters  /hh eh d k w ao t er z /h ea d q u ar t er s
heads  /hh eh d z /h ea d s
healing  /hh iy el ih ng /h e al i ng
health  /hh eh el th /h ea l th
healthful  /hh eh el th f uh el /h ea l th f u l
healthier  /hh eh el th iy er /h ea l th i er
healthy  /hh eh el th iy /h ea l th y
heap  /hh iy p /h ea p
hear  /hh ih r /h ea r
heard  /hh er d /he ar d
heart  /hh ao r t /he a r t
heartily  /hh ao r t ah el iy /he a r t i l y
heat  /hh iy t /h ea t
heat's  /hh iy t s /h ea t' s
heater  /hh iy t er /h ea t er
heating  /hh iy t ih ng /h ea t i ng
heave  /hh iy v /h ea ve  
heaven  /hh eh v ah en /h ea v e n
heavens  /hh eh v ah en z /h ea v e n s
heavier  /hh eh v iy er /h ea v i er
heavy  /hh eh v iy /h ea v y
heck  /hh eh k /h e ck
heels  /hh iy el z /h ee l s
heights  /hh ay t s /he igh t s
held  /hh eh el d /h e l d
helium  /hh iy el iy ah m /h e l i u m
hell  /hh eh el /h e ll
hello  /hh eh el ow /h e ll o
help  /hh eh el p /h e l p
helpful  /hh eh el p f uh el /h e l p f u l
helping  /hh eh el p ih ng /h e l p i ng
helpless  /hh eh el p el ah s /h e l p l e ss
helps  /hh eh el p s /h e l p s
hem  /hh eh m /h e m
hemorrhage  /hh eh m er ih jh /h e m orrh a ge  
hen  /hh eh en /h e n
henceforth  /hh eh en s f ao r th /h e n ce f o r th
henry  /hh eh en r iy /h e n r y
hepatitis  /hh eh p ah t ay t ih s /h e p a t i t i s
her  /hh er /h er
herb's  /hh er b z /h er b' s
herd  /hh er d /h er d
herdin'  /hh er d en /h er di n'  
here  /hh ih r /h e re  
here's  /hh ih r z /h e re' s
heritage  /hh eh r ah t ih jh /h e r i t a ge  
hero  /hh ih r ow /h e r o
heroes  /hh ih r ow z /h e r oe s
heroic  /hh ih r ow ih k /h e r o i c
heroism  /hh eh r ow ih z m /h e r o i s m
herself  /hh er s eh el f /h er s e l f
hesitate  /hh eh z ih t ey t /h e s i t a te  
hey  /hh ey /h ey  
hibachi  /hh ih b ao ch iy /h i b a ch i
hide  /hh ay d /h i de  
hides  /hh ay d z /h i de s
hiding  /hh ay d ih ng /h i d i ng
hierarchies  /hh ay er ao r k iy z /h i er a r ch ie s
high  /hh ay /h igh  
higher  /hh ay er /h igh er
highest  /hh ay ih s t /h igh e s t
highly  /hh ay el iy /h igh l y
highway  /hh ay w ey /h igh w ay
hiking  /hh ay k ih ng /h i k i ng
hills  /hh ih el z /h i ll s
hillside  /hh ih el s ay d /h i ll s i de  
him  /hh ih m /h i m
himself  /hh ih m s eh el f /h i m s e l f
hindu  /hh ih en d uw /h i n d u
hint  /hh ih en t /h i n t
hire  /hh ay er /h i re  
hired  /hh ay er d /h i r ed
hires  /hh ay er z /h i re s
hiring  /hh ay er ih ng /h i r i ng
his  /hh ih z /h i s
hispanic  /hh ih s p ae en ih k /h i s p a n i c
historians  /hh ih s t ao r iy ah en z /h i s t o r i a n s
historical  /hh ih s t ao r ih k el /h i s t o r i c al
historically  /hh ih s t ao r ih k el iy /h i s t o r i c all y
history  /hh ih s t er iy /h i s t or y
hit  /hh ih t /h i t
hoarse  /hh ao r s /h oa r se  
hold  /hh ow el d /h o l d
holder  /hh ow el d er /h o l d er
holding  /hh ow el d ih ng /h o l d i ng
holds  /hh ow el d z /h o l d s
hole  /hh ow el /h o le  
holes  /hh ow el z /h o le s
holiday  /hh ao el ih d ey /h o l i d ay
holidays  /hh ao el ih d ey z /h o l i d ay s
home  /hh ow m /h o me  
home-made  /hh ow m ey d /h o m e-ma de  
homes  /hh ow m z /h o me s
homogeneous  /hh ow m ah jh iy en iy ah s /h o m o g e n e ou s
honest  /ao en ih s t /ho n e s t
honesty  /ao en ih s t iy /ho n e s t y
honey  /hh ah en iy /h o n ey  
honeybees  /hh ah en iy b iy z /h o n ey b ee s
honor  /ao en er /ho n or
hood  /hh uh d /h oo d
hoofs  /hh uh f s /h oo f s
hook  /hh uh k /h oo k
hooking  /hh uh k ih ng /h oo k i ng
hope  /hh ow p /h o pe  
hoped  /hh ow p t /h o p ed
hopeful  /hh ow p f uh el /h o pe f u l
hopeless  /hh ow p el ah s /h o p el e ss
horizon  /hh er ay z en /h or i z on
horror  /hh ao r er /h o rr or
horse  /hh ao r s /h o r se  
horseback  /hh ao r s b ae k /h o r se b a ck
horseplay  /hh ao r s p el ey /h o r se p l ay
horses  /hh ao r s ih z /h o r s e s
hospitalization  /hh ao s p ih t el ah z ey sh ih en /h o s p i t al i z a * * tion
hospitals  /hh ao s p ih t el z /h o s p i t al s
host  /hh ow s t /h o s t
hostages  /hh ao s t ih jh z /h o s t a ge s
hot  /hh ao t /h o t
hotel  /hh ow t eh el /h o t e l
hotels  /hh ow t eh el z /h o t e l s
hour  /aw r /hou r
hours  /aw r z /hou r s
house  /hh aw s /h ou se  
household  /hh aw s hh ow el d /h ou se h o l d
householder  /hh aw s hh ow el d er /h ou se h o l d er
houses  /hh aw s ih z /h ou s e s
housewives  /hh aw s w ay v z /h ou se w i ve s
housework  /hh aw s w er k /h ou se w or k
housing  /hh aw z ih ng /h ou s i ng
how  /hh aw /h ow
how's  /hh aw z /h ow' s
however  /hh aw eh v er /h ow e v er
hub  /hh ah b /h u b
huge  /hh y uw jh /h * u ge  
hugged  /hh ah g d /h u gg ed
hugging  /hh ah g ih ng /h u gg i ng
hull  /hh ah el /h u ll
hum  /hh ah m /h u m
human  /hh y uw m ah en /h * u m a n
humanism  /hh y uw m ah en ih z m /h * u m a n i s m
humid  /hh y uw m ih d /h * u m i d
humidity  /hh y uw m ih d ih t iy /h * u m i d i t y
humor  /hh y uw m er /h * u m or
humorous  /hh y uw m er ah s /h * u m or ou s
hundred  /hh ah en d r ah d /h u n d r e d
hung  /hh ah ng /h u ng
hungarian  /hh ah ng g eh r iy ah en /h u n g a r i a n
hunter  /hh ah en t er /h u n t er
hurriedly  /hh er ih d el iy /h urr i ed l y
hurry  /hh er iy /h urr y
hurt  /hh er t /h ur t
hurts  /hh er t s /h ur t s
husband  /hh ah z b ah en d /h u s b a n d
husband's  /hh ah z b ah en d z /h u s b a n d' s
husbandry  /hh ah z b ah en d r iy /h u s b a n d r y
husky  /hh ah s k iy /h u s k y
hut  /hh ah t /h u t
hyacinths  /hh ay ah s ih en th s /h y a c i n th s
hyena  /hh ay iy en ah /h y e n a
hyenas  /hh ay iy en ih z /h y e n a s
hypocrites  /hh ih p ah k r ih t s /h y p o c r i te s
hypothalamic  /hh ay p ow th ah el ae m ih k /h y p o th a l a m i c
hypothetical  /hh ay p ah th eh t ih k el /h y p o th e t i c al
hysterical  /hh ih s t eh r ih k el /h y s t e r i c al
i  /ay /i
i'd  /ay d /i' d
i'll  /ay el /i' ll
i'm  /ay m /i' m
i've  /ay v /i' ve  
ice  /ay s /i ce  
ices  /ay s ih z /i c e s
icicles  /ay s ih k el z /i c i c le s
icy  /ay s iy /i c y
idea  /ay d iy ah /i d e a
ideal  /ay d iy el /i d e al
ideally  /ay d iy el iy /i d e all y
ideas  /ay d iy ah z /i d e a s
identical  /ay d eh en t ih k el /i d e n t i c al
identifiable  /ay d eh en t ih f ay ah b el /i d e n t i f i a b le  
identified  /ay d eh en t ih f ay /i d e n t i f ied  
identify  /ay d eh en t ih f ay /i d e n t i f y
ideological  /ay d iy ah el ao jh ih k el /i d e o l o g i c al
ideology  /ay d iy ao el ah jh iy /i d e o l o g y
idiosyncrasies  /ih d iy ih s ih ng k r ih s iy z /i d i o s y n c r a s ie s
idiotic  /ih d iy ao t ih k /i d i o t i c
idiotically  /ih d iy ao t ih k el iy /i d i o t i c all y
idly  /ay d el iy /i d l y
idolize  /ay d ah el ay z /i d o l i ze  
if  /ih f /i f
ignore  /ih g en ao r /i g n o re  
ignored  /ih g en ao r d /i g n o r ed
ignores  /ih g en ao r z /i g n o re s
iguanas  /ih g w ao en ih z /i g u a n a s
ill  /ih el /i ll
illegal  /ih el iy g el /i ll e g al
illegally  /ih el iy g el iy /i ll e g all y
illness  /ih el en ih s /i ll n e ss
illnesses  /ih el en ih s ih z /i ll n e ss e s
illuminated  /ih el uw m ih en ey t ih d /i ll u m i n a t e d
